algoritmo,configuracion,longitud_chars,probabilidad,repeticion,bits_datos,bits_totales,overhead_pct,bits_alterados,estado,mensaje_correcto
hamming,m=4,4,0,0,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,1,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,2,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,3,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,4,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,5,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,6,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,7,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,8,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,9,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,10,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,11,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,12,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,13,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,14,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,15,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,16,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,17,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,18,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,19,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,20,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,21,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,22,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,23,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,24,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,25,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,26,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,27,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,28,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,29,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,30,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,31,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,32,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,33,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,34,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,35,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,36,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,37,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,38,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,39,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,40,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,41,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,42,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,43,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,44,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,45,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,46,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,47,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,48,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,49,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,50,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,51,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,52,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,53,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,54,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,55,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,56,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,57,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,58,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,59,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,60,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,61,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,62,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,63,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,64,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,65,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,66,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,67,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,68,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,69,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,70,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,71,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,72,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,73,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,74,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,75,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,76,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,77,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,78,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,79,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,80,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,81,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,82,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,83,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,84,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,85,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,86,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,87,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,88,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,89,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,90,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,91,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,92,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,93,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,94,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,95,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,96,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,97,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,98,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,99,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,100,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,101,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,102,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,103,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,104,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,105,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,106,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,107,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,108,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,109,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,110,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,111,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,112,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,113,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,114,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,115,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,116,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,117,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,118,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,119,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,120,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,121,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,122,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,123,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,124,32,56,75.0,0,sin_error,True
hamming,m=4,4,0,125,32,56,75.0,0,sin_error,True
